Unnamed: 0.1,Unnamed: 0,id,latitude,longitude,time,edge,speed,traj_future,angle,time1
12,12,5,1,1,4320,A,1.3788558,C,188.18079,11-10
13,13,5,1,1,4380,C,1.256289,Z,198.02357,11-10
14,14,5,1,1,4440,Z,0.92531735,H,86.5,11-10
15,15,5,1,1,4500,H,0.4233598,L,236.87799,11-10
16,16,5,1,1,4560,L,1.1334885,Z,193.67496,11-10
17,17,5,1,1,4620,Z,0.9814797,G,186.29286,11-10
18,18,5,1,1,4680,G,1.0665321,M,213.67018,11-10
19,19,5,1,1,4740,M,0.8812676,C,175.97853,11-10
20,20,5,1,1,4800,C,1.52,M,144,11-10
21,21,5,1,1,4860,M,0.68084204,I,105.53296,11-10
22,22,5,1,1,4920,I,1.1928649,O,127.650116,11-10
23,23,5,1,1,4980,O,0.34956518,L,83.260155,11-10
24,24,5,1,1,5040,L,0.6308978,I,169.86638,11-10
25,25,5,1,1,5100,I,1.659995,D,82.0593,11-10
26,26,5,1,1,5160,D,0.76,F,160,11-10
27,27,5,1,1,5220,F,1.0297074,O,228.14104,11-10
28,28,5,1,1,5280,O,2.28,F,169,11-10
29,29,5,1,1,5340,F,1.1368768,O,111.99725,11-10
30,30,5,1,1,5400,O,1.52,C,104,11-10
31,31,5,1,1,5460,C,1.52,Z,149,11-10
32,32,5,1,1,5520,Z,1.0791049,G,160.08249,11-10
33,33,5,1,1,5580,G,0.59093475,N,202.57115,11-10
34,34,5,1,1,5640,N,0.6131275,F,159.50905,11-10
35,35,5,1,1,5700,F,0.76,B,146,11-10
36,36,5,1,1,5760,B,1.52,B,213,11-10
37,37,5,1,1,5820,B,0,B,0,11-10
38,38,5,1,1,5880,B,0,B,0,11-10
39,39,5,1,1,5940,B,0,B,0,11-10
41,41,5,1,1,6000,B,1.2,P,184.3,11-10
0,0,5,1,1,7200,P,1.2127994,C,147.7783,12-11
1,1,5,1,1,7260,C,1.6484169,C,171.219,12-11
2,2,5,1,1,7320,C,0.7044954,I,230.23036,12-11
3,3,5,1,1,7380,I,1.52,E,190,12-11
4,4,5,1,1,7440,E,1.396894,M,182.59348,12-11
5,5,5,1,1,7500,M,1.52,P,159,12-11
6,6,5,1,1,7560,P,1.0600669,P,148.1022,12-11
7,7,5,1,1,7620,P,1.1595367,C,140.06323,12-11
8,8,5,1,1,7680,C,1.0341027,K,147.65488,12-11
9,9,5,1,1,7740,K,1.3775878,K,241,12-11
10,10,5,1,1,7800,K,0.7599711,A,162.5,12-11
11,11,5,1,1,7860,A,0.6394985,A,226.9204,12-11
12,12,5,1,1,7920,A,1.3788558,C,188.18079,12-11
13,13,5,1,1,7980,C,1.256289,Z,198.02357,12-11
14,14,5,1,1,8040,Z,0.92531735,H,86.5,12-11
15,15,5,1,1,8100,H,0.4233598,L,236.87799,12-11
16,16,5,1,1,8160,L,1.1334885,Z,193.67496,12-11
17,17,5,1,1,8220,Z,0.9814797,G,186.29286,12-11
18,18,5,1,1,8280,G,1.0665321,M,213.67018,12-11
19,19,5,1,1,8340,M,0.8812676,C,175.97853,12-11
20,20,5,1,1,8400,C,1.52,M,144,12-11
21,21,5,1,1,8460,M,0.68084204,I,105.53296,12-11
22,22,5,1,1,8520,I,1.1928649,O,127.650116,12-11
23,23,5,1,1,8580,O,0.34956518,L,83.260155,12-11
24,24,5,1,1,8640,L,0.6308978,I,169.86638,12-11
25,25,5,1,1,8700,I,1.659995,D,82.0593,12-11
26,26,5,1,1,8760,D,0.76,F,160,12-11
27,27,5,1,1,8820,F,1.0297074,O,228.14104,12-11
28,28,5,1,1,8880,O,2.28,F,169,12-11
29,29,5,1,1,8940,F,1.1368768,O,111.99725,12-11
30,30,5,1,1,9000,O,1.52,C,104,12-11
31,31,5,1,1,9060,C,1.52,Z,149,12-11
32,32,5,1,1,9120,Z,1.0791049,G,160.08249,12-11
33,33,5,1,1,9180,G,0.59093475,N,202.57115,12-11
34,34,5,1,1,9240,N,0.6131275,F,159.50905,12-11
35,35,5,1,1,9300,F,0.76,B,146,12-11
36,36,5,1,1,9360,B,1.52,B,213,12-11
37,37,5,1,1,9420,B,0,B,0,12-11
38,38,5,1,1,9480,B,0,B,0,12-11
39,39,5,1,1,9540,B,0,B,0,12-11
41,41,5,1,1,9600,B,1.2,P,184.3,12-11
0,0,5,1,1,10800,P,1.2127994,C,147.7783,01-12
1,1,5,1,1,10860,C,1.6484169,C,171.219,01-12
2,2,5,1,1,10920,C,0.7044954,I,230.23036,01-12
3,3,5,1,1,10980,I,1.52,E,190,01-12
4,4,5,1,1,11040,E,1.396894,M,182.59348,01-12
5,5,5,1,1,11100,M,1.52,P,159,01-12
6,6,5,1,1,11160,P,1.0600669,P,148.1022,01-12
7,7,5,1,1,11220,P,1.1595367,C,140.06323,01-12
8,8,5,1,1,11280,C,1.0341027,K,147.65488,01-12
9,9,5,1,1,11340,K,1.3775878,K,241,01-12
10,10,5,1,1,11400,K,0.7599711,A,162.5,01-12
11,11,5,1,1,11460,A,0.6394985,A,226.9204,01-12
12,12,5,1,1,11520,A,1.3788558,C,188.18079,01-12
13,13,5,1,1,11580,C,1.256289,Z,198.02357,01-12
14,14,5,1,1,11640,Z,0.92531735,H,86.5,01-12
15,15,5,1,1,11700,H,0.4233598,L,236.87799,01-12
16,16,5,1,1,11760,L,1.1334885,Z,193.67496,01-12
17,17,5,1,1,11820,Z,0.9814797,G,186.29286,01-12
18,18,5,1,1,11880,G,1.0665321,M,213.67018,01-12
19,19,5,1,1,11940,M,0.8812676,C,175.97853,01-12
20,20,5,1,1,12000,C,1.52,M,144,01-12
21,21,5,1,1,12060,M,0.68084204,I,105.53296,01-12
22,22,5,1,1,12120,I,1.1928649,O,127.650116,01-12
23,23,5,1,1,12180,O,0.34956518,L,83.260155,01-12
24,24,5,1,1,12240,L,0.6308978,I,169.86638,01-12
25,25,5,1,1,12300,I,1.659995,D,82.0593,01-12
26,26,5,1,1,12360,D,0.76,F,160,01-12
27,27,5,1,1,12420,F,1.0297074,O,228.14104,01-12
28,28,5,1,1,12480,O,2.28,F,169,01-12
29,29,5,1,1,12540,F,1.1368768,O,111.99725,01-12
30,30,5,1,1,12600,O,1.52,C,104,01-12
31,31,5,1,1,12660,C,1.52,Z,149,01-12
32,32,5,1,1,12720,Z,1.0791049,G,160.08249,01-12
33,33,5,1,1,12780,G,0.59093475,N,202.57115,01-12
34,34,5,1,1,12840,N,0.6131275,F,159.50905,01-12
35,35,5,1,1,12900,F,0.76,B,146,01-12
36,36,5,1,1,12960,B,1.52,B,213,01-12
37,37,5,1,1,13020,B,0,B,0,01-12
38,38,5,1,1,13080,B,0,B,0,01-12
39,39,5,1,1,13140,B,0,B,0,01-12
41,41,5,1,1,13200,B,1.2,P,184.3,01-12
0,0,5,1,1,14400,P,1.2127994,C,147.7783,02-1
1,1,5,1,1,14460,C,1.6484169,C,171.219,02-1
2,2,5,1,1,14520,C,0.7044954,I,230.23036,02-1
3,3,5,1,1,14580,I,1.52,E,190,02-1
4,4,5,1,1,14640,E,1.396894,M,182.59348,02-1
5,5,5,1,1,14700,M,1.52,P,159,02-1
6,6,5,1,1,14760,P,1.0600669,P,148.1022,02-1
7,7,5,1,1,14820,P,1.1595367,C,140.06323,02-1
8,8,5,1,1,14880,C,1.0341027,K,147.65488,02-1
9,9,5,1,1,14940,K,1.3775878,K,241,02-1
10,10,5,1,1,15000,K,0.7599711,A,162.5,02-1
11,11,5,1,1,15060,A,0.6394985,A,226.9204,02-1
12,12,5,1,1,15120,A,1.3788558,C,188.18079,02-1
13,13,5,1,1,15180,C,1.256289,Z,198.02357,02-1
14,14,5,1,1,15240,Z,0.92531735,H,86.5,02-1
15,15,5,1,1,15300,H,0.4233598,L,236.87799,02-1
16,16,5,1,1,15360,L,1.1334885,Z,193.67496,02-1
17,17,5,1,1,15420,Z,0.9814797,G,186.29286,02-1
18,18,5,1,1,15480,G,1.0665321,M,213.67018,02-1
19,19,5,1,1,15540,M,0.8812676,C,175.97853,02-1
20,20,5,1,1,15600,C,1.52,M,144,02-1
21,21,5,1,1,15660,M,0.68084204,I,105.53296,02-1
22,22,5,1,1,15720,I,1.1928649,O,127.650116,02-1
23,23,5,1,1,15780,O,0.34956518,L,83.260155,02-1
24,24,5,1,1,15840,L,0.6308978,I,169.86638,02-1
25,25,5,1,1,15900,I,1.659995,D,82.0593,02-1
26,26,5,1,1,15960,D,0.76,F,160,02-1
27,27,5,1,1,16020,F,1.0297074,O,228.14104,02-1
28,28,5,1,1,16080,O,2.28,F,169,02-1
29,29,5,1,1,16140,F,1.1368768,O,111.99725,02-1
30,30,5,1,1,16200,O,1.52,C,104,02-1
31,31,5,1,1,16260,C,1.52,Z,149,02-1
32,32,5,1,1,16320,Z,1.0791049,G,160.08249,02-1
33,33,5,1,1,16380,G,0.59093475,N,202.57115,02-1
34,34,5,1,1,16440,N,0.6131275,F,159.50905,02-1
35,35,5,1,1,16500,F,0.76,B,146,02-1
36,36,5,1,1,16560,B,1.52,B,213,02-1
37,37,5,1,1,16620,B,0,B,0,02-1
38,38,5,1,1,16680,B,0,B,0,02-1
39,39,5,1,1,16740,B,0,B,0,02-1
41,41,5,1,1,16800,B,1.2,P,184.3,02-1
0,0,5,1,1,18000,P,1.2127994,C,147.7783,03-2
1,1,5,1,1,18060,C,1.6484169,C,171.219,03-2
2,2,5,1,1,18120,C,0.7044954,I,230.23036,03-2
3,3,5,1,1,18180,I,1.52,E,190,03-2
4,4,5,1,1,18240,E,1.396894,M,182.59348,03-2
5,5,5,1,1,18300,M,1.52,P,159,03-2
6,6,5,1,1,18360,P,1.0600669,P,148.1022,03-2
7,7,5,1,1,18420,P,1.1595367,C,140.06323,03-2
8,8,5,1,1,18480,C,1.0341027,K,147.65488,03-2
9,9,5,1,1,18540,K,1.3775878,K,241,03-2
10,10,5,1,1,18600,K,0.7599711,A,162.5,03-2
11,11,5,1,1,18660,A,0.6394985,A,226.9204,03-2
12,12,5,1,1,18720,A,1.3788558,C,188.18079,03-2
13,13,5,1,1,18780,C,1.256289,Z,198.02357,03-2
14,14,5,1,1,18840,Z,0.92531735,H,86.5,03-2
15,15,5,1,1,18900,H,0.4233598,L,236.87799,03-2
16,16,5,1,1,18960,L,1.1334885,Z,193.67496,03-2
17,17,5,1,1,19020,Z,0.9814797,G,186.29286,03-2
18,18,5,1,1,19080,G,1.0665321,M,213.67018,03-2
19,19,5,1,1,19140,M,0.8812676,C,175.97853,03-2
20,20,5,1,1,19200,C,1.52,M,144,03-2
21,21,5,1,1,19260,M,0.68084204,I,105.53296,03-2
22,22,5,1,1,19320,I,1.1928649,O,127.650116,03-2
23,23,5,1,1,19380,O,0.34956518,L,83.260155,03-2
24,24,5,1,1,19440,L,0.6308978,I,169.86638,03-2
25,25,5,1,1,19500,I,1.659995,D,82.0593,03-2
26,26,5,1,1,19560,D,0.76,F,160,03-2
27,27,5,1,1,19620,F,1.0297074,O,228.14104,03-2
28,28,5,1,1,19680,O,2.28,F,169,03-2
29,29,5,1,1,19740,F,1.1368768,O,111.99725,03-2
30,30,5,1,1,19800,O,1.52,C,104,03-2
31,31,5,1,1,19860,C,1.52,Z,149,03-2
32,32,5,1,1,19920,Z,1.0791049,G,160.08249,03-2
33,33,5,1,1,19980,G,0.59093475,N,202.57115,03-2
34,34,5,1,1,20040,N,0.6131275,F,159.50905,03-2
35,35,5,1,1,20100,F,0.76,B,146,03-2
36,36,5,1,1,20160,B,1.52,B,213,03-2
37,37,5,1,1,20220,B,0,B,0,03-2
38,38,5,1,1,20280,B,0,B,0,03-2
39,39,5,1,1,20340,B,0,B,0,03-2
41,41,5,1,1,20400,B,1.2,P,184.3,03-2
0,0,5,1,1,21600,P,1.2127994,C,147.7783,04-3
1,1,5,1,1,21660,C,1.6484169,C,171.219,04-3
2,2,5,1,1,21720,C,0.7044954,I,230.23036,04-3
3,3,5,1,1,21780,I,1.52,E,190,04-3
4,4,5,1,1,21840,E,1.396894,M,182.59348,04-3
5,5,5,1,1,21900,M,1.52,P,159,04-3
6,6,5,1,1,21960,P,1.0600669,P,148.1022,04-3
7,7,5,1,1,22020,P,1.1595367,C,140.06323,04-3
8,8,5,1,1,22080,C,1.0341027,K,147.65488,04-3
9,9,5,1,1,22140,K,1.3775878,K,241,04-3
10,10,5,1,1,22200,K,0.7599711,A,162.5,04-3
11,11,5,1,1,22260,A,0.6394985,A,226.9204,04-3
12,12,5,1,1,22320,A,1.3788558,C,188.18079,04-3
13,13,5,1,1,22380,C,1.256289,Z,198.02357,04-3
14,14,5,1,1,22440,Z,0.92531735,H,86.5,04-3
15,15,5,1,1,22500,H,0.4233598,L,236.87799,04-3
16,16,5,1,1,22560,L,1.1334885,Z,193.67496,04-3
17,17,5,1,1,22620,Z,0.9814797,G,186.29286,04-3
18,18,5,1,1,22680,G,1.0665321,M,213.67018,04-3
19,19,5,1,1,22740,M,0.8812676,C,175.97853,04-3
20,20,5,1,1,22800,C,1.52,M,144,04-3
21,21,5,1,1,22860,M,0.68084204,I,105.53296,04-3
22,22,5,1,1,22920,I,1.1928649,O,127.650116,04-3
23,23,5,1,1,22980,O,0.34956518,L,83.260155,04-3
24,24,5,1,1,23040,L,0.6308978,I,169.86638,04-3
25,25,5,1,1,23100,I,1.659995,D,82.0593,04-3
26,26,5,1,1,23160,D,0.76,F,160,04-3
27,27,5,1,1,23220,F,1.0297074,O,228.14104,04-3
28,28,5,1,1,23280,O,2.28,F,169,04-3
29,29,5,1,1,23340,F,1.1368768,O,111.99725,04-3
30,30,5,1,1,23400,O,1.52,C,104,04-3
31,31,5,1,1,23460,C,1.52,Z,149,04-3
32,32,5,1,1,23520,Z,1.0791049,G,160.08249,04-3
33,33,5,1,1,23580,G,0.59093475,N,202.57115,04-3
34,34,5,1,1,23640,N,0.6131275,F,159.50905,04-3
35,35,5,1,1,23700,F,0.76,B,146,04-3
36,36,5,1,1,23760,B,1.52,B,213,04-3
37,37,5,1,1,23820,B,0,B,0,04-3
38,38,5,1,1,23880,B,0,B,0,04-3
39,39,5,1,1,23940,B,0,B,0,04-3
41,41,5,1,1,24000,B,1.2,P,184.3,04-3
0,0,5,1,1,25200,P,1.2127994,C,147.7783,05-4
1,1,5,1,1,25260,C,1.6484169,C,171.219,05-4
2,2,5,1,1,25320,C,0.7044954,I,230.23036,05-4
3,3,5,1,1,25380,I,1.52,E,190,05-4
4,4,5,1,1,25440,E,1.396894,M,182.59348,05-4
5,5,5,1,1,25500,M,1.52,P,159,05-4
6,6,5,1,1,25560,P,1.0600669,P,148.1022,05-4
7,7,5,1,1,25620,P,1.1595367,C,140.06323,05-4
8,8,5,1,1,25680,C,1.0341027,K,147.65488,05-4
9,9,5,1,1,25740,K,1.3775878,K,241,05-4
10,10,5,1,1,25800,K,0.7599711,A,162.5,05-4
11,11,5,1,1,25860,A,0.6394985,A,226.9204,05-4
12,12,5,1,1,25920,A,1.3788558,C,188.18079,05-4
13,13,5,1,1,25980,C,1.256289,Z,198.02357,05-4
14,14,5,1,1,26040,Z,0.92531735,H,86.5,05-4
15,15,5,1,1,26100,H,0.4233598,L,236.87799,05-4
16,16,5,1,1,26160,L,1.1334885,Z,193.67496,05-4
17,17,5,1,1,26220,Z,0.9814797,G,186.29286,05-4
18,18,5,1,1,26280,G,1.0665321,M,213.67018,05-4
19,19,5,1,1,26340,M,0.8812676,C,175.97853,05-4
20,20,5,1,1,26400,C,1.52,M,144,05-4
21,21,5,1,1,26460,M,0.68084204,I,105.53296,05-4
22,22,5,1,1,26520,I,1.1928649,O,127.650116,05-4
23,23,5,1,1,26580,O,0.34956518,L,83.260155,05-4
24,24,5,1,1,26640,L,0.6308978,I,169.86638,05-4
25,25,5,1,1,26700,I,1.659995,D,82.0593,05-4
26,26,5,1,1,26760,D,0.76,F,160,05-4
27,27,5,1,1,26820,F,1.0297074,O,228.14104,05-4
28,28,5,1,1,26880,O,2.28,F,169,05-4
29,29,5,1,1,26940,F,1.1368768,O,111.99725,05-4
30,30,5,1,1,27000,O,1.52,C,104,05-4
31,31,5,1,1,27060,C,1.52,Z,149,05-4
32,32,5,1,1,27120,Z,1.0791049,G,160.08249,05-4
33,33,5,1,1,27180,G,0.59093475,N,202.57115,05-4
34,34,5,1,1,27240,N,0.6131275,F,159.50905,05-4
35,35,5,1,1,27300,F,0.76,B,146,05-4
36,36,5,1,1,27360,B,1.52,B,213,05-4
37,37,5,1,1,27420,B,0,B,0,05-4
38,38,5,1,1,27480,B,0,B,0,05-4
39,39,5,1,1,27540,B,0,B,0,05-4
41,41,5,1,1,27600,B,1.2,,184.3,05-4
