Unnamed: 0.1,Unnamed: 0,id,latitude,longitude,time,edge,speed,traj_future,angle,time1
90,90,2,1,1,10843,C,0.563043944,B,82.18179,11-1
91,91,2,1,1,10963,B,0,B,0,11-1
92,92,2,1,1,11084,B,0,B,0,11-1
93,93,2,1,1,11204,B,0,B,0,11-1
94,94,2,1,1,11325,B,0,B,0,11-1
95,95,2,1,1,11445,B,0,B,0,11-1
96,96,2,1,1,11566,B,0,B,0,11-1
97,97,2,1,1,11686,B,0,B,0,11-1
98,98,2,1,1,11807,B,0,B,0,11-1
99,99,2,1,1,11927,B,0,B,0,11-1
100,100,2,1,1,12048,B,0,B,0,11-1
101,101,2,1,1,12168,B,0,B,0,11-1
102,102,2,1,1,12289,B,0,B,0,11-1
103,103,2,1,1,12409,B,0,B,0,11-1
104,104,2,1,1,12530,B,0,B,0,11-1
105,105,2,1,1,12650,B,0.991047388,C,44.333335,11-1
106,106,2,1,1,12771,C,0,C,0,11-1
107,107,2,1,1,12891,C,0,C,0,11-1
108,108,2,1,1,13012,C,0,C,0,11-1
109,109,2,1,1,13132,C,0,C,0,11-1
110,110,2,1,1,13253,C,0,C,0,11-1
111,111,2,1,1,13373,C,0,C,0,11-1
112,112,2,1,1,13493,C,0,C,0,11-1
113,113,2,1,1,13614,C,0,C,0,11-1
114,114,2,1,1,13734,C,0,C,0,11-1
115,115,2,1,1,13855,C,0,C,0,11-1
116,116,2,1,1,13975,C,0,C,0,11-1
117,117,2,1,1,14096,C,0,C,0,11-1
118,118,2,1,1,14216,C,0,C,0,11-1
119,119,2,1,1,14337,C,0,,0,11-1
